"rta","lpc","gpc","cpc","bq","ndp"
"A0A",0.745807704429922,-0.873219297626892,0.314577160091092,-0.352172851750176,0.165007284856053
"A0B",0.725751022096368,-0.794502668785802,0.391530174630717,-0.404801527901217,0.0820229999599345
"A0C",0.717902759762795,-0.774461934377449,0.412788683877539,-0.419653100912956,0.0634235916500705
"A0E",0.717131900211833,-0.775292211607133,0.41219775182883,-0.419506127174693,0.0654686867411638
"A0G",0.724675847142525,-0.767166778964183,0.417980854612657,-0.420944472305492,0.0454545495144941
"A0H",0.727204121701375,-0.768546956193835,0.416862332899268,-0.419332244452101,0.0438127460452937
"A0J",0.729151090267284,-0.762346585118025,0.421411524421295,-0.421797731775207,0.0335817022046523
"A0K",0.673045289846869,-0.894215348831313,0.336154440625498,-0.377909722957422,0.262925341316369
"A0L",0.712198517274086,-0.819132890187491,0.379716181851009,-0.398901938973983,0.126120130036379
"A0M",0.712198517274086,-0.819132890187491,0.379716181851009,-0.398901938973983,0.126120130036379
"A0N",0.716460640111126,-0.804855989107944,0.390198995984199,-0.404658273508533,0.102854626521152
"A0P",0.645272077270414,-0.950849726029795,0.302078308619594,-0.361103879443551,0.364603219583338
"A0R",0.645271670052198,-0.950848619249789,0.302080144126807,-0.361103794732469,0.364600599803254
"A1A",0.647667263857835,-1.09360714410216,0.178234906391064,-0.282186490585379,0.549891464438641
"A1B",0.652247810986841,-1.08758965896116,0.180548930903993,-0.283014780056991,0.537807697127316
"A1C",0.656319028965194,-1.08224128179124,0.18260564987971,-0.283750968746495,0.527067571692828
"A1E",0.719925906075982,-0.998680644360822,0.214738901362545,-0.29525284944966,0.359268686371954
"A1G",0.728422142594587,-0.971522961896968,0.234849441238783,-0.306117899283473,0.31436927734707
"A1H",0.759472027387982,-0.871987009515697,0.308628099741989,-0.34599207129687,0.149878953682595
"A1K",0.647667263857835,-1.09360714410216,0.178234906391064,-0.282186490585379,0.549891464438641
"A1L",0.72001659938926,-0.998443169020396,0.214901734349168,-0.29533825815367,0.358863093435637
"A1M",0.647667263857835,-1.09360714410216,0.178234906391064,-0.282186490585379,0.549891464438641
"A1N",0.720028131158794,-0.998431465040225,0.214904152961092,-0.295338334138535,0.358837515058873
"A1S",0.749700540031497,-0.903311257791691,0.285409745357116,-0.333443555568976,0.201644527972053
"A1V",0.729151090267284,-0.762346585118025,0.421411524421295,-0.421797731775207,0.0335817022046523
"A1W",0.759774767775435,-0.870866593577656,0.309495712531571,-0.346468285001565,0.148064398272216
"A1X",0.759895796549058,-0.870622470799086,0.309641035166003,-0.346539814918342,0.147625454002367
"A1Y",0.724794011518267,-0.922924232821411,0.283305748206308,-0.335842595072054,0.25066706816889
"A2A",0.729151090267284,-0.762346585118025,0.421411524421295,-0.421797731775207,0.0335817022046523
"A2B",0.729151090267284,-0.762346585118025,0.421411524421295,-0.421797731775207,0.0335817022046523
"A2H",0.712198517274086,-0.819132890187491,0.379716181851009,-0.398901938973983,0.126120130036379
"A2N",0.712198517274086,-0.819132890187491,0.379716181851009,-0.398901938973983,0.126120130036379
"A2V",0.645272574869689,-0.950849949007511,0.302077911500984,-0.361103827586024,0.364603290222861
"A5A",0.717131617925037,-0.775292515652532,0.412197535431025,-0.419506073353286,0.0654694356497574
"A8A",0.71400137694615,-0.813093822290463,0.384150367249474,-0.401336843782699,0.116278921877538
"B0C",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B0E",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B0H",0.692810279340103,-0.825646137585883,0.31740016316145,-0.385184705340762,0.200620400425093
"B0J",0.647272191260939,-0.800661703387552,0.332309679956509,-0.412696812056386,0.233776644226489
"B0K",0.674769870258238,-0.832530942113914,0.318458467559126,-0.389802194073139,0.22910479836969
"B0L",0.670091025045448,-0.822829795133175,0.344634151818544,-0.40203811527441,0.210142733543592
"B0M",0.670081475341661,-0.822843893026902,0.344643918837209,-0.402040295357836,0.210158794205867
"B0N",0.677782832306718,-0.870844957852712,0.258682875241477,-0.359877024880207,0.294256275184724
"B0P",0.648313956514033,-0.849606236899936,0.303874961923974,-0.38974814549181,0.287165463953739
"B0R",0.589015580344725,-0.734636970669283,0.420564893845289,-0.478350275169876,0.203406771649145
"B0S",0.583055843089421,-0.740932246133333,0.498766987673968,-0.501949026996125,0.161058442366069
"B0T",0.591671563962527,-0.731831390704192,0.385713548465106,-0.467833334420249,0.222279612696807
"B0V",0.583055470623371,-0.740932639572224,0.498771875084838,-0.501950501850918,0.161055795714933
"B0W",0.584825024563613,-0.739063445476758,0.475552209341681,-0.494943594464893,0.173629806036358
"B1A",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1B",0.682433698202585,-0.8187954729168,0.336266307395596,-0.396403254238716,0.196498721557335
"B1C",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B1E",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1G",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1H",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1J",0.700867719658048,-0.803860171451695,0.344081297633799,-0.396615783008735,0.155526937168584
"B1K",0.700484518035246,-0.804170642597248,0.343918841658107,-0.396611365016179,0.156378647920073
"B1L",0.683892095905698,-0.817613874565912,0.336884586149409,-0.396420068338167,0.193257260848972
"B1M",0.652774586162487,-0.842825377654429,0.323692508909622,-0.396061309611117,0.262419592193438
"B1N",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1P",0.67790143857916,-0.822467523747247,0.334344883749669,-0.3963510010955,0.206572202513918
"B1R",0.67734835381714,-0.822915634740089,0.334110406859939,-0.396344624493168,0.207801498556177
"B1S",0.652757963984369,-0.842838844994793,0.323685462039245,-0.396061117971378,0.262456536942557
"B1T",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B1V",0.652755740009293,-0.84284064686631,0.323684519198663,-0.396061092330815,0.262461479989169
"B1W",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B1X",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B1Y",0.690289764584686,-0.812430463522077,0.339596838513569,-0.396493828079558,0.17903768850338
"B2A",0.671591954924138,-0.827579487010638,0.331670016885093,-0.396278258053299,0.220595773254707
"B2C",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B2E",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B2G",0.700869596171108,-0.803858736788918,0.344081920638356,-0.39661572847084,0.155522948450294
"B2H",0.677503266859409,-0.838180295937651,0.303190322476466,-0.382666234649366,0.240152941251141
"B2J",0.700869726277762,-0.803858545682167,0.344082148327909,-0.396615806143373,0.155522477219868
"B2N",0.670081157461183,-0.822842938917003,0.34464644996751,-0.402041436284988,0.210156767773297
"B2R",0.677200249833314,-0.907056636410387,0.239615149832212,-0.343957698980908,0.334198935725768
"B2S",0.679723325359337,-0.886245570871458,0.232643388168828,-0.346993788970156,0.32087264631345
"B2T",0.678092171835233,-0.868224817538063,0.267900592607217,-0.363274729819156,0.285506782914769
"B2V",0.60905257421704,-0.683269123464629,0.431231031802812,-0.489351123809478,0.132336641254254
